#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Leather Gloves,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,Iron Ore,1,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,10
Chainmail Gloves,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,Iron Ore,1,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,20
Hunter's Vambraces,0,1,0,0,0,1,6,42,2,2,0,0,0,Stealth,1,,,,,,,,,Jagras Hide,1,Jagras Scale,1,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,30
Bone Vambraces,0,1,0,0,0,1,6,42,2,0,2,0,2,Slugger,1,,,,,,,,,Monster Bone S,3,Kestodon Shell,2,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,40
Vespoid Vambraces,0,1,0,0,0,3,8,44,-2,1,1,1,2,Paralysis Attack,1,,,,,,,,,Vespoid Wing,2,Monster Fluid,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,50
Kestodon Guards,0,1,0,0,0,1,12,48,4,0,0,0,0,Affinity Sliding,1,,,,,,,,,Kestodon Shell,6,Kestodon Scalp,3,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,60
Jagras Vambraces,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,Palico Rally,1,,,,,,,,,Great Jagras Scale,2,Great Jagras Hide,1,Jagras Hide,3,,,74,Streamstone Shard,1,Fucium Ore,3,0,70
Kulu Vambraces,0,1,0,0,0,2,10,46,0,-3,0,1,0,Pro Transporter,1,,,,,,,,,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1,Iron Ore,3,,,76,Streamstone Shard,1,Fucium Ore,3,0,80
Alloy Vambraces,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,Defense Boost,1,,,,,,,,,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,,66,Streamstone Shard,1,Fucium Ore,3,0,90
Pukei Vambraces,0,2,0,0,0,2,12,44,0,3,-3,0,1,Poison Resistance,1,,,,,,,,,Pukei-Pukei Scale,2,Pukei-Pukei Shell,1,Poison Sac,1,,,70,Streamstone Shard,1,Fucium Ore,3,0,100
Barroth Vambraces,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,Marathon Runner,1,,,,,,,,,Barroth Ridge,3,Barroth Tail,1,Barroth Scalp,1,Kestodon Scalp,1,72,Streamstone Shard,1,Fucium Ore,3,0,110
Jyura Vambraces,0,2,0,0,0,3,14,46,-1,2,-3,0,0,Water Attack,1,,,,,,,,,Jyuratodus Shell,2,Jyuratodus Fang,1,Gajau Whisker,2,,,72,Streamstone Shard,1,Fucium Ore,3,0,120
Kadachi Vambraces,0,2,0,0,0,4,16,48,0,-3,3,0,0,Evade Extender,1,,,,,,,,,Tobi-Kadachi Pelt,2,Tobi-Kadachi Claw,1,Tobi-Kadachi Scale,2,Monster Bone M,2,74,Streamstone Shard,1,Fucium Ore,3,0,130
High Metal Braces,0,3,0,0,0,6,18,46,0,-1,-2,3,0,Defense Boost,1,,,,,,,,,Dragonite Ore,2,Machalite Ore,2,Earth Crystal,2,Sharp Claw,2,70,Streamstone Shard,1,Fucium Ore,3,0,140
King Beetle Brachia,1,3,0,0,0,6,22,50,-1,-1,2,0,2,Leap of Faith,1,,,,,,,,,Great Hornfly,1,Earth Crystal,2,Coral Crystal,2,Aqua Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,150
Butterfly Brachia,2,3,0,0,0,6,22,50,-1,-1,2,0,2,Leap of Faith,1,,,,,,,,,Great Hornfly,1,Earth Crystal,2,Coral Crystal,2,Aqua Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,160
Hornetaur Vambraces,0,3,0,0,0,8,18,46,-1,-1,0,0,2,Free Meal,1,,,,,,,,,Hornetaur Wing,1,Hornetaur Shell,1,Iron Ore,3,Machalite Ore,1,70,Streamstone Shard,1,Fucium Ore,3,0,170
Anja Vambraces,0,3,0,0,0,4,20,48,3,-3,-1,-1,0,Special Ammo Boost,1,Anjanath Power,1,,,,,,,Anjanath Pelt,2,Anjanath Scale,2,Anjanath Nosebone,1,Monster Bone L,2,72,Streamstone Shard,1,Fucium Ore,3,0,180
Rathian Vambraces,0,3,0,0,0,5,22,50,2,0,-2,0,-3,Poison Attack,1,,,,,,,,,Rathian Shell,2,Rathian Scale,2,Rathian Spike,1,Monster Bone L,2,74,Streamstone Shard,1,Fucium Ore,3,0,190
Tzitzi Vambraces,0,3,0,0,0,6,18,46,0,0,-3,-2,0,Stun Resistance,1,,,,,,,,,Tzitzi-Ya-Ku Hide,2,Tzitzi-Ya-Ku Photophore,1,Tzitzi-Ya-Ku Scale,3,Coral Crystal,2,70,Streamstone Shard,1,Fucium Ore,3,0,200
Lumu Vambraces,0,3,0,0,0,6,20,48,-3,2,0,1,0,Artillery,1,,,,,,,,,Paolumu Pelt,2,Paolumu Scale,1,Paolumu Webbing,1,,,72,Streamstone Shard,1,Fucium Ore,3,0,210
Girros Vambraces,0,3,0,0,0,8,20,48,0,-3,2,0,1,Palico Rally,1,,,,,,,,,Great Girros Scale,2,Great Girros Hide,1,Girros Fang,2,,,72,Streamstone Shard,1,Fucium Ore,3,0,220
Baan Vambraces,0,3,0,0,0,8,24,52,0,2,0,-1,-2,Sleep Attack,1,,,,,,,,,Radobaan Scale,2,Radobaan Shell,1,Radobaan Oilshell,1,Sturdy Bone,3,76,Streamstone Shard,1,Fucium Ore,3,0,230
Ingot Vambraces,0,4,0,0,0,8,28,52,-2,0,3,-1,0,Health Boost,1,,,,,,,,,Dragonite Ore,3,Monster Bone+,1,Coral Crystal,3,Lightcrystal,1,72,Streamstone Shard,1,Fucium Ore,3,0,240
Death Stench Grip,0,4,0,0,0,8,32,56,3,2,-2,3,-4,Focus,1,,,,,,,,,Sinister Cloth,1,Warped Bone,3,Sturdy Bone,6,Lightcrystal,1,76,Streamstone Shard,1,Fucium Ore,3,0,250
Brigade Vambraces,0,4,0,0,0,8,28,52,1,0,2,0,2,Heavy Artillery,1,,,,,,,,,Pinnacle Coin,2,Pukei Coin,2,Kulu Coin,2,Commendation,1,72,Streamstone Shard,1,Fucium Ore,3,0,260
Legiana Vambraces,0,4,0,0,0,8,30,54,-1,2,-3,3,0,Airborne,1,Legiana Blessing,1,,,,,,,Legiana Hide,2,Legiana Scale,2,Legiana Tail Webbing,1,Frost Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,270
Odogaron Vambraces,0,4,0,0,0,8,30,54,2,2,-2,-3,0,Constitution,1,Odogaron Power,1,,,,,,,Odogaron Sinew,2,Odogaron Scale,2,Odogaron Tail,1,Hornetaur Wing,2,74,Streamstone Shard,1,Fucium Ore,3,0,280
Rathalos Vambraces,0,4,0,0,0,8,30,54,3,1,-2,1,-3,Fire Resistance,1,Rathalos Power,1,,,,,,,Rathalos Shell,2,Rathalos Webbing,1,Flame Sac,2,Monster Bone+,2,74,Streamstone Shard,1,Fucium Ore,3,0,290
Diablos Vambraces,0,4,0,0,0,8,32,56,3,-2,0,-3,2,Heroics,1,Diablos Power,1,,,,,,,Diablos Ridge,2,Diablos Shell,2,Diablos Tailcase,1,Lightcrystal,1,76,Streamstone Shard,1,Fucium Ore,3,0,300
Kirin Longarms,0,4,0,0,0,8,34,58,-3,-2,4,-2,2,Blight Resistance,1,Kirin Blessing,1,,,,,,,Kirin Hide,3,Kirin Mane,2,Paolumu Shell,2,Lightcrystal,1,78,Streamstone Shard,1,Fucium Ore,3,0,310
Blossom Cuffs,0,3,0,0,0,3,18,46,1,1,4,1,1,Paralysis Resistance,1,,,,,,,,,Spring Blossom Ticket,1,Earth Crystal,1,,,,,70,Streamstone Shard,1,Fucium Ore,3,0,320
Diver's Braces,0,3,0,0,0,3,22,50,1,4,1,1,1,Quick Sheath,1,,,,,,,,,Summer Twilight Ticket,1,Coral Crystal,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,330
Harvest Trama,0,3,0,0,0,6,26,54,4,1,1,1,1,Resentment,1,,,,,,,,,Autumn Harvest Ticket,1,Sturdy Bone,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,340
Orion Vambraces,0,4,0,0,0,8,30,54,1,1,1,4,1,Windproof,1,,,,,,,,,Winter Star Ticket,1,Monster Bone+,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,350
Gala Suit Cuffs,0,4,0,0,0,8,34,58,1,1,1,1,4,Maximum Might,1,Astera Blessing,1,,,,,,,Appreciation Ticket,1,Monster Bone+,1,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,360
Butterfly Brachia,1,3,0,0,0,4,22,50,-1,-1,2,0,2,Critical Eye,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,370
Queen Beetle Brachia,2,3,0,0,0,4,22,50,-1,-1,2,0,2,Critical Eye,1,,,,,,,,,Spring Insect Field Guide,1,Great Hornfly,1,Vespoid Shell,1,Monster Fluid,1,74,Streamstone Shard,1,Fucium Ore,3,0,380
Leather Gloves α,0,5,0,0,0,11,32,54,2,0,0,0,0,Recovery Speed,1,,,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,390
Leather Gloves β,0,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,,Carbalite Ore,2,High-quality Pelt,1,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,400
Chainmail Gloves α,0,5,0,0,0,11,32,54,0,2,0,0,0,Recovery Speed,1,,,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,410
Chainmail Gloves β,0,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,,Carbalite Ore,2,Dragonite Ore,2,,,,,70,Streamstone Shard,1,Dragonbone Relic,1,0,420
Hunter's Vambraces α,0,5,0,0,0,11,36,58,2,2,0,0,0,Stealth,2,,,,,,,,,Jagras Hide+,2,Jagras Scale+,4,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,430
Hunter's Vambraces β,0,5,1,0,0,11,36,58,2,2,0,0,0,Stealth,1,,,,,,,,,Jagras Hide+,2,Jagras Scale+,4,,,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,440
Bone Vambraces α,0,5,0,0,0,11,36,58,2,0,2,0,2,Slugger,1,Attack Boost,1,,,,,,,Quality Bone,3,Monster Bone+,2,Coral Bone,2,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,450
Bone Vambraces β,0,5,1,0,0,11,36,58,2,0,2,0,2,Slugger,1,,,,,,,,,Quality Bone,3,Monster Bone+,2,Coral Bone,2,,,74,Streamstone Shard,1,Dragonbone Relic,1,0,460
Alloy Vambraces α,0,5,0,0,0,11,36,58,-2,0,-2,-2,0,Defense Boost,1,Speed Sharpening,1,,,,,,,Carbalite Ore,2,Dragonite Ore,4,Earth Crystal,4,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,470
Alloy Vambraces β,0,5,1,0,0,11,36,58,-2,0,-2,-2,0,Defense Boost,1,,,,,,,,,Carbalite Ore,2,Dragonite Ore,4,Earth Crystal,4,Machalite Ore,5,74,Streamstone Shard,1,Dragonbone Relic,1,0,480
King Beetle Brachia α,1,5,1,0,0,11,42,64,-1,-1,2,0,2,Botanist,2,Leap of Faith,1,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,490
King Beetle Brachia β,1,5,2,1,0,11,42,64,-1,-1,2,0,2,Botanist,2,,,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,500
Butterfly Brachia α,2,5,1,0,0,11,42,64,-1,-1,2,0,2,Botanist,2,Leap of Faith,1,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,510
Butterfly Brachia β,2,5,2,1,0,11,42,64,-1,-1,2,0,2,Botanist,2,,,,,,,,,Great Hornfly,1,Dragonvein Crystal,2,Monster Broth,2,Torrent Sac,2,80,Streamstone Shard,1,Dragonbone Relic,1,0,520
Vespoid Vambraces α,0,5,0,0,0,11,38,60,-2,1,1,1,2,Paralysis Attack,2,,,,,,,,,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2,76,Streamstone Shard,1,Dragonbone Relic,1,0,530
Vespoid Vambraces β,0,5,1,0,0,11,38,60,-2,1,1,1,2,Paralysis Attack,1,,,,,,,,,Vespoid Carapace,4,Vespoid Innerwing,2,Monster Broth,3,Omniplegia Sac,2,76,Streamstone Shard,1,Dragonbone Relic,1,0,540
Hornetaur Vambraces α,0,5,0,0,0,11,38,60,-1,-1,0,0,2,Free Meal,1,Hunger Resistance,1,,,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,550
Hornetaur Vambraces β,0,5,1,0,0,11,38,60,-1,-1,0,0,2,Free Meal,1,,,,,,,,,Hornetaur Carapace,3,Hornetaur Innerwing,2,Monster Broth,2,,,76,Streamstone Shard,1,Dragonbone Relic,1,0,560
Kestodon Guards α,0,5,0,0,0,11,40,62,4,0,0,0,0,Affinity Sliding,1,Focus,1,,,,,,,Kestodon Carapace,6,Kestodon Scalp,3,Quality Bone,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,570
Kestodon Guards β,0,5,1,0,0,11,40,62,4,0,0,0,0,Affinity Sliding,1,,,,,,,,,Kestodon Carapace,6,Kestodon Scalp,3,Quality Bone,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,580
Jagras Vambraces α,0,5,0,0,0,11,40,62,-2,2,-1,-1,1,Palico Rally,1,Intimidator,1,,,,,,,Great Jagras Scale+,4,Great Jagras Hide+,2,Monster Bone+,3,Jagras Hide+,1,78,Streamstone Shard,1,Dragonbone Relic,1,0,590
Jagras Vambraces β,0,5,1,0,0,11,40,62,-2,2,-1,-1,1,Palico Rally,1,,,,,,,,,Great Jagras Scale+,4,Great Jagras Hide+,2,Monster Bone+,3,Jagras Hide+,1,78,Streamstone Shard,1,Dragonbone Relic,1,0,600
Kulu Vambraces α,0,5,0,0,0,11,40,62,0,-3,0,1,0,Pro Transporter,1,Critical Eye,1,,,,,,,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Carbalite Ore,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,610
Kulu Vambraces β,0,5,2,0,0,11,40,62,0,-3,0,1,0,Pro Transporter,1,,,,,,,,,Kulu-Ya-Ku Scale+,4,Kulu-Ya-Ku Hide+,2,Carbalite Ore,3,,,78,Streamstone Shard,1,Dragonbone Relic,1,0,620
Tzitzi Vambraces α,0,5,0,0,0,11,40,62,0,0,-3,-2,0,Stun Resistance,2,Wide-Range,1,,,,,,,Tzitzi-Ya-Ku Hide+,4,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Scale+,4,Dragonvein Crystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,630
Tzitzi Vambraces β,0,5,1,0,0,11,40,62,0,0,-3,-2,0,Stun Resistance,2,,,,,,,,,Tzitzi-Ya-Ku Hide+,4,Tzitzi-Ya-Ku Photophore+,2,Tzitzi-Ya-Ku Scale+,4,Dragonvein Crystal,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,640
Girros Vambraces α,0,5,0,0,0,11,40,62,0,-3,2,0,1,Palico Rally,2,,,,,,,,,Great Girros Scale+,4,Great Girros Hide+,2,Girros Fang,2,Omniplegia Sac,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,650
Girros Vambraces β,0,5,1,0,0,11,40,62,0,-3,2,0,1,Palico Rally,1,,,,,,,,,Great Girros Scale+,4,Great Girros Hide+,2,Girros Fang,2,Omniplegia Sac,2,78,Streamstone Shard,1,Dragonbone Relic,1,0,660
Pukei Vambraces α,0,5,0,0,0,11,42,64,0,3,-3,0,1,Poison Resistance,2,Poison Attack,1,,,,,,,Pukei-Pukei Scale+,4,Pukei-Pukei Carapace,3,Toxin Sac,1,,,80,Streamstone Shard,1,Dragonbone Relic,1,0,670
Pukei Vambraces β,0,5,1,1,0,11,42,64,0,3,-3,0,1,Poison Resistance,1,,,,,,,,,Pukei-Pukei Scale+,4,Pukei-Pukei Carapace,3,Toxin Sac,1,,,80,Streamstone Shard,1,Dragonbone Relic,1,0,680
