#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Leather Headgear,0,1,0,0,0,1,2,38,2,0,0,0,0,Hunger Resistance,1,,,,,,,,,Iron Ore,2,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,10
Chainmail Headgear,0,1,0,0,0,1,2,38,0,2,0,0,0,Master Gatherer,1,,,,,,,,,Iron Ore,2,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,20
Hunter's Headgear,0,1,0,0,0,1,6,42,2,2,0,0,0,Scoutfly Range Up,1,,,,,,,,,Jagras Hide,2,Jagras Scale,2,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,30
Bone Helm,0,1,0,0,0,1,6,42,2,0,2,0,2,Health Boost,1,,,,,,,,,Monster Bone S,2,Ancient Bone,2,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,40
Vespoid Helm,0,1,0,0,0,3,8,44,-2,1,1,1,2,Quick Sheath,1,,,,,,,,,Vespoid Shell,2,Iron Ore,2,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,50
Jagras Helm,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,Speed Eating,1,,,,,,,,,Great Jagras Hide,2,Great Jagras Mane,2,Great Jagras Claw,2,Ancient Bone,1,74,Streamstone Shard,1,Fucium Ore,3,0,60
Kulu Headpiece,0,1,0,0,0,2,10,46,0,-3,0,1,0,Fire Resistance,1,,,,,,,,,Kulu-Ya-Ku Scale,2,Kulu-Ya-Ku Hide,1,Kulu-Ya-Ku Plume,1,,,76,Streamstone Shard,1,Fucium Ore,3,0,70
Alloy Helm,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,Windproof,1,,,,,,,,,Machalite Ore,4,Iron Ore,4,Earth Crystal,2,,,66,Streamstone Shard,1,Fucium Ore,3,0,80
Pukei Hood,0,2,0,0,0,2,12,44,0,3,-3,0,1,Survival Expert,1,,,,,,,,,Pukei-Pukei Shell,2,Pukei-Pukei Tail,1,Pukei-Pukei Quill,2,Machalite Ore,2,70,Streamstone Shard,1,Fucium Ore,3,0,90
Barroth Helm,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,Guard,1,,,,,,,,,Barroth Ridge,2,Barroth Tail,1,Barroth Claw,2,Kestodon Shell,2,72,Streamstone Shard,1,Fucium Ore,3,0,100
Jyura Helm,0,2,0,0,0,3,14,46,-1,2,-3,0,0,Aquatic/Polar Mobility,1,,,,,,,,,Jyuratodus Scale,2,Jyuratodus Shell,1,Jyuratodus Fin,1,Gajau Skin,3,72,Streamstone Shard,1,Fucium Ore,3,0,110
Kadachi Helm,0,2,0,0,0,4,16,48,0,-3,3,0,0,Constitution,1,,,,,,,,,Tobi-Kadachi Pelt,2,Tobi-Kadachi Electrode,2,Tobi-Kadachi Claw,1,Electro Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,120
High Metal Helm,0,3,0,0,0,6,18,46,0,-1,-2,3,0,Ice Resistance,1,,,,,,,,,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,,70,Streamstone Shard,1,Fucium Ore,3,0,130
King Beetle Vertex,1,3,0,0,0,6,22,50,-1,-1,2,0,2,Evade Window,1,,,,,,,,,Great Hornfly,1,Dragonite Ore,2,Coral Crystal,2,Flame Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,140
Butterfly Vertex,2,3,0,0,0,6,22,50,-1,-1,2,0,2,Evade Window,1,,,,,,,,,Great Hornfly,1,Dragonite Ore,2,Coral Crystal,2,Flame Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,150
Shamos Goggles,0,3,0,0,0,6,22,50,2,2,0,-3,0,Detector,1,,,,,,,,,Shamos Hide,2,Shamos Scale,3,Coral Bone,1,Coral Crystal,1,74,Streamstone Shard,1,Fucium Ore,3,0,160
Hornetaur Helm,0,3,0,0,0,8,18,46,-1,-1,0,0,2,Dungmaster,1,,,,,,,,,Hornetaur Head,1,Hornetaur Shell,1,Machalite Ore,1,Monster Fluid,1,70,Streamstone Shard,1,Fucium Ore,3,0,170
Anja Helm,0,3,0,0,0,5,20,48,3,-3,-1,-1,0,Fire Attack,1,Anjanath Power,1,,,,,,,Anjanath Pelt,3,Anjanath Scale,3,Anjanath Tail,1,Flame Sac,1,72,Streamstone Shard,1,Fucium Ore,3,0,180
Rathian Helm,0,3,0,0,0,5,22,50,2,0,-2,0,-3,Health Boost,1,,,,,,,,,Rathian Shell,2,Rathian Scale,3,Rathian Webbing,2,Flame Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,190
