#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Leather Trousers,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,Iron Ore,1,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,10
Chainmail Trousers,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,Iron Ore,1,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,20
Hunter's Greaves,0,1,0,0,0,1,6,42,2,2,0,0,0,BBQ Master,1,,,,,,,,,Jagras Hide,1,Monster Bone S,1,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,30
Bone Greaves,0,1,0,0,0,1,6,42,2,0,2,0,2,Entomologist,1,,,,,,,,,Monster Bone S,1,Ancient Bone,1,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,40
Vespoid Greaves,0,1,0,0,0,3,8,44,-2,1,1,1,2,Honey Hunter,1,,,,,,,,,Vespoid Wing,2,Monster Fluid,1,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,50
Gajau Boots,0,1,0,0,0,3,12,48,0,5,0,0,0,Aquatic/Polar Mobility,1,,,,,,,,,Gajau Skin,4,Gajau Whisker,2,,,,,78,Streamstone Shard,1,Fucium Ore,3,0,60
Jagras Greaves,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,Speed Crawler,1,,,,,,,,,Great Jagras Scale,1,Great Jagras Hide,1,Great Jagras Mane,1,Jagras Scale,2,74,Streamstone Shard,1,Fucium Ore,3,0,70
Kulu Greaves,0,1,0,0,0,2,10,46,0,-3,0,1,0,Critical Eye,1,,,,,,,,,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Scale,3,Wingdrake Hide,2,,,76,Streamstone Shard,1,Fucium Ore,3,0,80
Alloy Greaves,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,Speed Sharpening,1,,,,,,,,,Machalite Ore,3,Iron Ore,6,Earth Crystal,1,,,66,Streamstone Shard,1,Fucium Ore,3,0,90
Pukei Greaves,0,2,0,0,0,3,12,44,0,3,-3,0,1,Botanist,1,,,,,,,,,Pukei-Pukei Shell,2,Pukei-Pukei Sac,1,Pukei-Pukei Scale,2,Monster Bone M,1,70,Streamstone Shard,1,Fucium Ore,3,0,100
Barroth Greaves,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,Stun Resistance,1,,,,,,,,,Barroth Ridge,2,Barroth Scalp,1,Barroth Shell,1,Fertile Mud,2,72,Streamstone Shard,1,Fucium Ore,3,0,110
Jyura Greaves,0,2,0,0,0,3,14,46,-1,2,-3,0,0,Focus,1,,,,,,,,,Jyuratodus Shell,3,Jyuratodus Fang,2,Jyuratodus Fin,2,Earth Crystal,3,72,Streamstone Shard,1,Fucium Ore,3,0,120
Kadachi Greaves,0,2,0,0,0,4,16,48,0,-3,3,0,0,Thunder Resistance,1,,,,,,,,,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1,Warm Pelt,1,,,74,Streamstone Shard,1,Fucium Ore,3,0,130
High Metal Greaves,0,3,0,0,0,6,18,46,0,-1,-2,3,0,Heavy Artillery,1,,,,,,,,,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,,70,Streamstone Shard,1,Fucium Ore,3,0,140
King Beetle Crura,1,3,0,0,0,8,22,50,-1,-1,2,0,2,Forager's Luck,1,,,,,,,,,Great Hornfly,1,Dragonite Ore,2,Monster Fluid,3,Paralysis Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,150
Butterfly Crura,2,3,0,0,0,8,22,50,-1,-1,2,0,2,Forager's Luck,1,,,,,,,,,Great Hornfly,1,Dragonite Ore,2,Monster Fluid,3,Paralysis Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,160
