#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
Leather Belt,0,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,,Iron Ore,1,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,10
Chainmail Belt,0,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,,Iron Ore,1,,,,,,,68,Streamstone Shard,1,Fucium Ore,3,0,20
Hunter's Coil,0,1,0,0,0,1,6,42,2,2,0,0,0,Scenthound,1,,,,,,,,,Jagras Hide,1,Monster Bone S,1,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,30
Bone Coil,0,1,0,0,0,1,6,42,2,0,2,0,2,Horn Maestro,1,,,,,,,,,Monster Bone S,1,Kestodon Shell,1,,,,,72,Streamstone Shard,1,Fucium Ore,3,0,40
Vespoid Coil,0,1,0,0,0,3,8,44,-2,1,1,1,2,Paralysis Resistance,1,,,,,,,,,Vespoid Shell,1,Iron Ore,4,,,,,74,Streamstone Shard,1,Fucium Ore,3,0,50
Jagras Coil,0,1,0,0,0,2,8,44,-2,2,-1,-1,1,Fortify,1,,,,,,,,,Great Jagras Hide,1,Great Jagras Mane,1,Great Jagras Scale,2,Sharp Claw,2,74,Streamstone Shard,1,Fucium Ore,3,0,60
Kulu Coil,0,1,0,0,0,2,10,46,0,-3,0,1,0,Item Prolonger,1,,,,,,,,,Kulu-Ya-Ku Hide,2,Kulu-Ya-Ku Beak,1,Wingdrake Hide,2,,,76,Streamstone Shard,1,Fucium Ore,3,0,70
Alloy Coil,0,2,0,0,0,3,8,40,-2,1,-2,-2,1,Poison Resistance,1,,,,,,,,,Machalite Ore,4,Iron Ore,4,Earth Crystal,2,,,66,Streamstone Shard,1,Fucium Ore,3,0,80
Pukei Coil,0,2,0,0,0,2,12,44,0,3,-3,0,1,Poison Attack,1,,,,,,,,,Pukei-Pukei Shell,3,Pukei-Pukei Tail,1,Pukei-Pukei Sac,1,Poison Sac,1,70,Streamstone Shard,1,Fucium Ore,3,0,90
Barroth Coil,0,2,0,0,0,3,14,38,-3,-1,3,-1,0,Muck Resistance,1,,,,,,,,,Barroth Shell,2,Barroth Ridge,1,Fertile Mud,2,,,72,Streamstone Shard,1,Fucium Ore,3,0,100
Jyura Coil,0,2,0,0,0,3,14,46,-1,2,-3,0,0,Ice Resistance,1,,,,,,,,,Jyuratodus Scale,2,Jyuratodus Shell,1,Aqua Sac,1,,,72,Streamstone Shard,1,Fucium Ore,3,0,110
Kadachi Coil,0,2,0,0,0,4,16,48,0,-3,3,0,0,Thunder Attack,1,,,,,,,,,Tobi-Kadachi Scale,2,Tobi-Kadachi Pelt,1,Electro Sac,1,,,74,Streamstone Shard,1,Fucium Ore,3,0,120
High Metal Coil,0,3,0,0,0,6,18,46,0,-1,-2,3,0,Capacity Boost,1,,,,,,,,,Dragonite Ore,2,Machalite Ore,1,Iron Ore,6,,,70,Streamstone Shard,1,Fucium Ore,3,0,130
King Beetle Elytra,1,3,0,0,0,4,22,50,-1,-1,2,0,2,Honey Hunter,1,,,,,,,,,Great Hornfly,1,Earth Crystal,2,Monster Fluid,1,Electro Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,140
Butterfly Elytra,2,3,0,0,0,4,22,50,-1,-1,2,0,2,Honey Hunter,1,,,,,,,,,Great Hornfly,1,Earth Crystal,2,Monster Fluid,1,Electro Sac,1,74,Streamstone Shard,1,Fucium Ore,3,0,150
Hornetaur Coil,0,3,0,0,0,8,18,46,-1,-1,0,0,2,Carving Pro,1,,,,,,,,,Hornetaur Wing,1,Hornetaur Shell,1,Iron Ore,3,Machalite Ore,1,70,Streamstone Shard,1,Fucium Ore,3,0,160
Anja Coil,0,3,0,0,0,4,20,48,3,-3,-1,-1,0,Fire Resistance,1,Anjanath Power,1,,,,,,,Anjanath Scale,2,Anjanath Pelt,1,Anjanath Fang,2,Machalite Ore,2,72,Streamstone Shard,1,Fucium Ore,3,0,170
Rathian Coil,0,3,0,0,0,5,22,50,2,0,-2,0,-3,Poison Resistance,1,,,,,,,,,Rathian Scale,2,Rathian Shell,1,Rath Wingtalon,2,Boulder Bone,2,74,Streamstone Shard,1,Fucium Ore,3,0,180
